Alabama|2,890|0.30%|4,750|0.33%|0.644
Alaska|940|0.09%|1,290|0.09%|0.3723
Arizona|28,770|2.80%|40,740|2.80%|0.4161
Arkansas|1,330|0.13%|2,390|0.16%|0.797
California|425,300|42%|563,070|38.71%|0.324
Colorado|24,670|2.40%|37,000|2.54%|0.5
Connecticut|9,040|0.90%|13,350|0.92%|0.477
Delaware|1,950|0.20%|3,010|0.21%|0.544
District of Columbia|2,360|0.23%|3,700|0.25%|0.568
Florida|58,160|5.70%|95,640|6.58%|0.6444
Georgia|23,530|2.30%|34,020|2.34%|0.4458
Hawaii|10,670|1.10%|14,220|0.98%|0.333
Idaho|2,300|0.23%|3,500|0.24%|0.522
Illinois|26,000|2.60%|36,520|2.51%|0.405
Indiana|6,990|0.70%|10,360|0.71%|0.4821
Iowa|2,260|0.22%|3,660|0.25%|0.62
Kansas|3,130|0.31%|4,500|0.31%|0.4377
Kentucky|2,650|0.26%|4,220|0.29%|0.593
Louisiana|1,950|0.19%|3,180|0.22%|0.631
Maine|1,920|0.19%|3,040|0.21%|0.5833
Maryland|17,970|1.80%|25,630|1.76%|0.4263
Massachusetts|21,010|2.10%|30,470|2.09%|0.4503
Michigan|10,620|1%|17,460|1.20%|0.6441
Minnesota|10,380|1%|15,000|1.03%|0.4451
Mississippi|780|0.08%|1,310|0.09%|0.68
Missouri|6,740|0.66%|10,050|0.69%|0.4911
Montana|940|0.09%|1,650|0.11%|0.7553
Nebraska|1,810|0.18%|2,710|0.19%|0.4972
Nevada|11,040|1.10%|17,380|1.19%|0.5743
New Hampshire|2,690|0.26%|4,000|0.28%|0.487
New Jersey|30,420|3%|47,830|3.29%|0.5723
New Mexico|2,620|0.26%|4,150|0.29%|0.584
New York|32,590|3.20%|51,870|3.57%|0.5916
North Carolina|16,190|1.60%|25,190|1.73%|0.556
North Dakota|220|0.02%|380|0.03%|0.7273
Ohio|14,530|1.40%|21,200|1.46%|0.4591
Oklahoma|3,410|0.34%|7,180|0.49%|1.11
Oregon|22,850|2.20%|30,290|2.08%|0.326
Pennsylvania|17,530|1.70%|26,770|1.84%|0.5271
Rhode Island|1,580|0.16%|2,550|0.18%|0.6139
South Carolina|4,390|0.43%|7,440|0.51%|0.695
South Dakota|410|0.04%|680|0.05%|0.66
Tennessee|7,810|0.80%|12,160|0.84%|0.557
Texas|52,190|5.10%|80,900|5.56%|0.5501
Utah|11,230|1.10%|16,480|1.13%|0.4675
Vermont|2,230|0.22%|3,370|0.23%|0.5112
Virginia|20,510|2%|30,660|2.11%|0.495
Washington|50,520|5%|66,810|4.59%|0.323
West Virginia|600|0.06%|1,010|0.07%|0.6833
Wisconsin|6,310|0.62%|9,330|0.64%|0.479
Wyoming|330|0.03%|510|0.04%|0.546
